Purchase Date,State ID,Buyer ID,Product ID,Category ID,Quantity Purchased (lb),Purchase Price ($),Quantity Sold (lb),Sale Price ($)
2019-01-01,1,B1000,104,1,429,2.53,421,4.14
2019-01-01,1,B1001,112,2,84,9.36,82,11.14
2019-01-01,1,B1002,107,1,113,1.3,91,1.99
2019-01-01,1,B1003,120,3,285,9.53,243,15.64
2019-01-01,1,B1004,121,3,1035,12.89,849,22.09
2019-01-01,2,B2000,103,1,603,4.6,446,5.75
2019-01-01,2,B2001,113,2,1468,5.41,1220,7.44
2019-01-01,2,B2002,103,1,304,4.5,248,7.42
2019-01-01,2,B2003,100,1,44,1.42,43,2.02
2019-01-01,2,B2004,104,1,803,2.36,580,2.99
2019-01-01,3,B3000,119,3,904,3.02,726,3.71
2019-01-01,3,B3001,115,3,1451,2.99,1099,3.65
2019-01-01,3,B3002,105,1,38,1.35,27,1.65
2019-01-01,3,B3003,111,2,226,3.65,192,4.95
2019-01-01,3,B3004,104,1,238,3.04,232,5.2
2019-01-01,4,B4000,120,3,428,7.24,323,11.76
2019-01-01,4,B4001,105,1,15,1.22,12,1.87
2019-01-01,4,B4002,114,2,968,3.44,826,5.94
2019-01-01,4,B4003,111,2,113,4.02,87,5.92
2019-01-01,4,B4004,106,1,73,7.62,55,10.1
2019-01-01,5,B5000,114,2,1692,3.93,1437,6.49
2019-01-01,5,B5001,112,2,1710,8.98,1418,14.56
2019-01-01,5,B5002,115,3,626,1.96,545,3.04
2019-01-01,5,B5003,114,2,771,3.7,563,4.68
2019-01-01,5,B5004,118,3,621,0.89,487,1.1
2019-01-01,6,B6000,104,1,203,2.57,148,4.59
2019-01-01,6,B6001,103,1,762,5.11,686,6.23
2019-01-01,6,B6002,100,1,1850,1.85,1722,2.4
2019-01-01,6,B6003,101,1,972,6.55,751,9.53
2019-01-01,6,B6004,116,3,455,6.83,339,10.29
2019-01-01,7,B7000,111,2,373,4.38,276,5.85
2019-01-01,7,B7001,105,1,38,1.6,35,2.52
2019-01-01,7,B7002,101,1,279,8.72,273,11.72
2019-01-01,7,B7003,118,3,600,1.25,431,1.53
2019-01-01,7,B7004,104,1,196,3.11,183,3.73
2019-01-01,8,B8000,106,1,568,7.19,510,12.01
2019-01-01,8,B8001,106,1,1009,8.23,953,11.31
2019-01-01,8,B8002,118,3,395,0.83,365,1.09
2019-01-01,8,B8003,112,2,833,9.57,718,13.1
2019-01-01,8,B8004,100,1,347,1.63,308,2.87
2019-01-01,9,B9000,109,2,773,5.06,664,7.76
2019-01-01,9,B9001,108,2,56,3.4,43,4.48
2019-01-01,9,B9002,118,3,552,1.14,531,1.86
2019-01-01,9,B9003,121,3,1056,8.6,811,10.36
2019-01-01,9,B9004,103,1,1275,6.12,1100,9.7
2019-01-01,10,B10000,106,1,709,7.2,620,12.5
2019-01-01,10,B10001,104,1,543,2.65,475,3.2
2019-01-01,10,B10002,105,1,754,1.81,738,3.1
2019-01-01,10,B10003,108,2,1219,2.96,909,4.72
2019-01-01,10,B10004,120,3,130,11.47,127,18.53
