order_id,customer_id,customer_name,country,product_category,product_name,quantity,unit_price,unit_cost,order_date
TE240001,C1328,Customer_58,Germany,CNC Cutting Tools,Ball Nose End Mill,41,35.0,14.0,2024-04-24
TE240002,C1072,Customer_378,USA,Hand Tools,Watering Can,379,6.0,2.4,2024-02-14
TE240003,C1303,Customer_217,Germany,CNC Cutting Tools,Indexable Insert TNMG1604,37,3.8,1.5,2024-04-29
TE240004,C1259,Customer_309,Germany,CNC Cutting Tools,Face Mill Cutter,93,120.0,48.0,2024-12-25
TE240005,C1280,Customer_215,France,CNC Cutting Tools,Lathe Tool Bit,45,18.0,7.2,2024-01-04
TE240006,C1389,Customer_413,UK,CNC Cutting Tools,Slotting Cutter,53,80.0,32.0,2024-05-22
TE240007,C1080,Customer_111,Egypt,CNC Cutting Tools,Threading Tap M8,23,5.0,2.0,2024-02-17
TE240008,C1195,Customer_50,Canada,Hand Tools,Iron Rake,409,7.5,3.0,2024-05-15
TE240009,C1414,Customer_23,Sweden,Hand Tools,Pruning Shears,163,12.0,4.8,2024-07-12
TE240010,C1041,Customer_283,Japan,CNC Cutting Tools,Milling Cutter Set,89,300.0,120.0,2024-07-04
TE240011,C1296,Customer_99,Spain,CNC Cutting Tools,Carbide End Mill Φ6mm,94,25.0,10.5,2024-04-26
TE240012,C1396,Customer_149,South Africa,Hand Tools,Wheelbarrow,219,45.0,18.0,2024-02-21
TE240013,C1195,Customer_143,Australia,Hand Tools,Wheelbarrow,286,45.0,18.0,2024-03-24
TE240014,C1190,Customer_182,France,CNC Cutting Tools,Ball Nose End Mill,99,35.0,14.0,2024-12-15
TE240015,C1332,Customer_37,Brazil,CNC Cutting Tools,Drill Bit Φ10mm,78,30.0,12.0,2024-05-05
TE240016,C1084,Customer_237,Canada,CNC Cutting Tools,Milling Cutter Set,98,300.0,120.0,2024-10-12
TE240017,C1113,Customer_351,Japan,CNC Cutting Tools,Carbide End Mill Φ6mm,39,25.0,10.5,2024-01-17
TE240018,C1413,Customer_162,Canada,CNC Cutting Tools,Indexable Insert TNMG1604,37,3.8,1.5,2024-10-17
TE240019,C1449,Customer_368,Japan,CNC Cutting Tools,Milling Cutter Set,73,300.0,120.0,2024-07-21
TE240020,C1453,Customer_469,Mexico,Hand Tools,Steel Shovel,235,7.2,2.9,2024-03-12
TE240021,C1127,Customer_382,Thailand,Hand Tools,Mini Garden Trowel,482,5.0,2.0,2024-10-26
TE240022,C1220,Customer_460,Thailand,CNC Cutting Tools,Threading Tap M8,38,5.0,2.0,2024-03-11
TE240023,C1261,Customer_253,USA,CNC Cutting Tools,Carbide End Mill Φ6mm,24,25.0,10.5,2024-03-19
TE240024,C1322,Customer_82,Nigeria,Hand Tools,Steel Mattock,405,8.5,3.4,2024-02-02
TE240025,C1198,Customer_196,Brazil,Hand Tools,Garden Fork,370,6.8,2.7,2024-05-08
TE240026,C1498,Customer_284,Uganda,Hand Tools,Steel Pickaxe,448,8.0,3.2,2024-02-28
