State ID,Buyer ID,Buyer
1,B1000,Buyer_1_0
1,B1001,Buyer_1_1
1,B1002,Buyer_1_2
1,B1003,Buyer_1_3
1,B1004,Buyer_1_4
2,B2000,Buyer_2_0
2,B2001,Buyer_2_1
2,B2002,Buyer_2_2
2,B2003,Buyer_2_3
2,B2004,Buyer_2_4
3,B3000,Buyer_3_0
3,B3001,Buyer_3_1
3,B3002,Buyer_3_2
3,B3003,Buyer_3_3
3,B3004,Buyer_3_4
4,B4000,Buyer_4_0
4,B4001,Buyer_4_1
4,B4002,Buyer_4_2
4,B4003,Buyer_4_3
4,B4004,Buyer_4_4
5,B5000,Buyer_5_0
5,B5001,Buyer_5_1
5,B5002,Buyer_5_2
5,B5003,Buyer_5_3
5,B5004,Buyer_5_4
6,B6000,Buyer_6_0
6,B6001,Buyer_6_1
6,B6002,Buyer_6_2
6,B6003,Buyer_6_3
6,B6004,Buyer_6_4
7,B7000,Buyer_7_0
7,B7001,Buyer_7_1
7,B7002,Buyer_7_2
7,B7003,Buyer_7_3
7,B7004,Buyer_7_4
8,B8000,Buyer_8_0
8,B8001,Buyer_8_1
8,B8002,Buyer_8_2
8,B8003,Buyer_8_3
8,B8004,Buyer_8_4
9,B9000,Buyer_9_0
9,B9001,Buyer_9_1
9,B9002,Buyer_9_2
9,B9003,Buyer_9_3
9,B9004,Buyer_9_4
10,B10000,Buyer_10_0
10,B10001,Buyer_10_1
10,B10002,Buyer_10_2
10,B10003,Buyer_10_3
10,B10004,Buyer_10_4
11,B11000,Buyer_11_0
11,B11001,Buyer_11_1
11,B11002,Buyer_11_2
11,B11003,Buyer_11_3
11,B11004,Buyer_11_4
12,B12000,Buyer_12_0
12,B12001,Buyer_12_1
12,B12002,Buyer_12_2
12,B12003,Buyer_12_3
12,B12004,Buyer_12_4
13,B13000,Buyer_13_0
13,B13001,Buyer_13_1
13,B13002,Buyer_13_2
13,B13003,Buyer_13_3
13,B13004,Buyer_13_4
14,B14000,Buyer_14_0
14,B14001,Buyer_14_1
14,B14002,Buyer_14_2
14,B14003,Buyer_14_3
14,B14004,Buyer_14_4
15,B15000,Buyer_15_0
15,B15001,Buyer_15_1
15,B15002,Buyer_15_2
15,B15003,Buyer_15_3
15,B15004,Buyer_15_4
